Date,Open,High,Low,Close,Adj Close,Volume
16-07-2018,1821.949951,1841.949951,1814.449951,1822.48999,1822.48999,5466200
17-07-2018,1811.560059,1851.689941,1797.380005,1843.930054,1843.930054,5682900
18-07-2018,1848,1858.880005,1831.27002,1842.920044,1842.920044,4861900
19-07-2018,1829.459961,1841,1811.27002,1812.969971,1812.969971,4676900
20-07-2018,1825.01001,1834.839966,1810.060059,1813.699951,1813.699951,3884400
23-07-2018,1812.209961,1819,1769.98999,1802,1802,3888500
24-07-2018,1829.01001,1840,1809.380005,1829.23999,1829.23999,4278700
25-07-2018,1829.300049,1863.839966,1822.640015,1863.609985,1863.609985,3738200
26-07-2018,1839,1844.680054,1804.5,1808,1808,9924400
27-07-2018,1876.050049,1880.050049,1806.530029,1817.27002,1817.27002,9681000
30-07-2018,1827.329956,1829.5,1766.02002,1779.219971,1779.219971,6562300
31-07-2018,1786.48999,1801.829956,1739.319946,1777.439941,1777.439941,5738700
01-08-2018,1784,1798.439941,1776.02002,1797.170044,1797.170044,4153100
02-08-2018,1788.77002,1836.560059,1786,1834.329956,1834.329956,4354700
03-08-2018,1837.73999,1841,1821.5,1823.290039,1823.290039,3460500
06-08-2018,1825.810059,1847.77002,1818.920044,1847.75,1847.75,3391800
07-08-2018,1854.530029,1869.719971,1846.27002,1862.47998,1862.47998,3377500
08-08-2018,1861,1891.51001,1854.5,1886.52002,1886.52002,3963000
09-08-2018,1882,1914.569946,1877.47998,1898.52002,1898.52002,4849900
10-08-2018,1888.51001,1899.5,1878.209961,1886.300049,1886.300049,3639900
13-08-2018,1898.5,1925,1893.670044,1896.199951,1896.199951,5512600
14-08-2018,1919.390015,1921.01001,1900,1919.650024,1919.650024,3986100
15-08-2018,1909.550049,1916.209961,1869.790039,1882.619995,1882.619995,7700700
16-08-2018,1903.939941,1905,1883.550049,1886.52002,1886.52002,3957100
17-08-2018,1885.800049,1888,1855.550049,1882.219971,1882.219971,4104300
20-08-2018,1890.569946,1891.75,1866.060059,1876.709961,1876.709961,2862000
21-08-2018,1880,1897.75,1874.410034,1883.420044,1883.420044,3105600
22-08-2018,1876.640015,1905.800049,1876.640015,1904.900024,1904.900024,3080500
23-08-2018,1907.170044,1919.5,1900.76001,1902.900024,1902.900024,3563000
24-08-2018,1910.51001,1916.01001,1902.540039,1905.390015,1905.390015,2800900
27-08-2018,1915,1927.699951,1909.280029,1927.680054,1927.680054,3569000
28-08-2018,1937.72998,1941.780029,1928.819946,1932.819946,1932.819946,3100700
29-08-2018,1953.449951,1998.689941,1948.939941,1998.099976,1998.099976,6531800
30-08-2018,1997.420044,2025.569946,1986.900024,2002.380005,2002.380005,7277300
31-08-2018,2007,2022.380005,2004.73999,2012.709961,2012.709961,4204400
04-09-2018,2026.5,2050.5,2013,2039.51001,2039.51001,5721100
05-09-2018,2038.109985,2040.380005,1989.890015,1994.819946,1994.819946,8220600
06-09-2018,2006.51001,2007.5,1935.209961,1958.310059,1958.310059,7488700
07-09-2018,1938.709961,1975.199951,1937.349976,1952.069946,1952.069946,4892600
10-09-2018,1971,1973.040039,1931.52002,1939.01001,1939.01001,4544800
11-09-2018,1928.27002,1988.880005,1917,1987.150024,1987.150024,5033600
12-09-2018,1994,2000,1962.439941,1990,1990,4414000
13-09-2018,2000,2008.76001,1982.030029,1989.869995,1989.869995,3621500
14-09-2018,1992.930054,1993.650024,1959.219971,1970.189941,1970.189941,3642000
17-09-2018,1954.72998,1956.819946,1887.410034,1908.030029,1908.030029,7050200
18-09-2018,1918.650024,1958.199951,1915.439941,1941.050049,1941.050049,4268700
19-09-2018,1940.5,1940.829956,1904.900024,1926.420044,1926.420044,4056800
20-09-2018,1938.579956,1955,1932.25,1944.300049,1944.300049,3154900
21-09-2018,1954.219971,1957.310059,1910.5,1915.01001,1915.01001,6855900
24-09-2018,1903.790039,1936.880005,1865,1934.359985,1934.359985,4213700
25-09-2018,1942.900024,1975.910034,1938.849976,1974.550049,1974.550049,4538400
26-09-2018,1968.5,1995.25,1961.52002,1974.849976,1974.849976,4313500
27-09-2018,1993.23999,2016.160034,1988.579956,2012.97998,2012.97998,4329400
28-09-2018,2004.410034,2026.52002,1996.459961,2003,2003,4085100
01-10-2018,2021.98999,2033.189941,2003.599976,2004.359985,2004.359985,3460500
02-10-2018,1999.98999,2013.390015,1965.77002,1971.310059,1971.310059,5400700
03-10-2018,1981.699951,1989.699951,1949.810059,1952.76001,1952.76001,5253100
04-10-2018,1949,1956,1896.569946,1909.420044,1909.420044,7257000
05-10-2018,1917.98999,1929.079956,1862.829956,1889.650024,1889.650024,6822300
08-10-2018,1874,1902,1830.660034,1864.420044,1864.420044,7393200
09-10-2018,1859.98999,1896.680054,1852.319946,1870.319946,1870.319946,4772900
10-10-2018,1857.890015,1858.560059,1754.410034,1755.25,1755.25,10988900
11-10-2018,1724,1755.400024,1685.099976,1719.359985,1719.359985,13935900
12-10-2018,1808,1808.949951,1742.530029,1788.609985,1788.609985,9444600
15-10-2018,1795,1795.050049,1734.22998,1760.949951,1760.949951,6437200
16-10-2018,1783.5,1823.880005,1761.550049,1819.959961,1819.959961,5859900
17-10-2018,1842.790039,1845,1807,1831.72998,1831.72998,5295200
18-10-2018,1821.48999,1830.150024,1767.869995,1770.719971,1770.719971,5874000
19-10-2018,1785.160034,1809.099976,1753,1764.030029,1764.030029,5907200
22-10-2018,1784,1809.5,1756,1789.300049,1789.300049,4500000
23-10-2018,1742.23999,1776.339966,1714,1768.699951,1768.699951,6723900
24-10-2018,1773.699951,1777.709961,1656.560059,1664.199951,1664.199951,6928400
25-10-2018,1703.339966,1794.810059,1692.01001,1782.170044,1782.170044,10285700
26-10-2018,1649.589966,1698.459961,1603,1642.810059,1642.810059,14963800
29-10-2018,1660,1665.73999,1495,1538.880005,1538.880005,13866100
30-10-2018,1486.160034,1540.98999,1476.359985,1530.420044,1530.420044,12460100
31-10-2018,1569.98999,1623.910034,1565.089966,1598.01001,1598.01001,9390200
01-11-2018,1623.530029,1670.449951,1598.439941,1665.530029,1665.530029,8135500
02-11-2018,1678.589966,1697.439941,1651.829956,1665.530029,1665.530029,6955500
05-11-2018,1657.569946,1658.089966,1596.359985,1627.800049,1627.800049,5624700
06-11-2018,1618.349976,1665,1614.550049,1642.810059,1642.810059,4257400
07-11-2018,1673,1759.22998,1664.079956,1755.48999,1755.48999,8192200
08-11-2018,1755,1784,1725.109985,1754.910034,1754.910034,6534900
09-11-2018,1732.5,1743.920044,1701.869995,1712.430054,1712.430054,5902200
12-11-2018,1698.23999,1708.550049,1630.01001,1636.849976,1636.849976,6806200
13-11-2018,1649.290039,1677.060059,1613.75,1631.170044,1631.170044,5933300
14-11-2018,1656.319946,1673,1597.069946,1599.01001,1599.01001,6486900
15-11-2018,1581.01001,1624.819946,1546.51001,1619.439941,1619.439941,8427300
16-11-2018,1587.5,1614.47998,1573.119995,1593.410034,1593.410034,6066100
19-11-2018,1577.01001,1581.189941,1503.359985,1512.290039,1512.290039,7790000
20-11-2018,1437.5,1534.75,1420,1495.459961,1495.459961,10878800
21-11-2018,1542.98999,1550,1515,1516.72998,1516.72998,5716800
23-11-2018,1517,1536.199951,1501.810059,1502.060059,1502.060059,2707600
26-11-2018,1539,1584.810059,1524.219971,1581.329956,1581.329956,6257700
27-11-2018,1575.98999,1597.650024,1558.01001,1581.420044,1581.420044,5783200
28-11-2018,1613.920044,1681.449951,1601.219971,1677.75,1677.75,8458700
29-11-2018,1674.98999,1689.98999,1652.329956,1673.569946,1673.569946,6613200
30-11-2018,1679.5,1696,1666.5,1690.170044,1690.170044,5761800
03-12-2018,1769.459961,1778.339966,1730,1772.359985,1772.359985,6862300
04-12-2018,1756,1770.339966,1665,1668.400024,1668.400024,8694500
06-12-2018,1614.869995,1701.050049,1609.849976,1699.189941,1699.189941,8789400
07-12-2018,1705.069946,1718.930054,1625.459961,1629.130005,1629.130005,7576100
10-12-2018,1623.839966,1657.98999,1590.869995,1641.030029,1641.030029,7494800
11-12-2018,1678,1679.469971,1619.599976,1643.23999,1643.23999,6244700
12-12-2018,1669,1704.98999,1660.27002,1663.540039,1663.540039,6598000
13-12-2018,1680,1692.119995,1641.5,1658.380005,1658.380005,5271300
14-12-2018,1638,1642.569946,1585,1591.910034,1591.910034,6367200
17-12-2018,1566,1576.130005,1505.01001,1520.910034,1520.910034,8829800
18-12-2018,1540,1567.550049,1523.01001,1551.47998,1551.47998,6523000
19-12-2018,1543.050049,1584.530029,1483.180054,1495.079956,1495.079956,8792200
20-12-2018,1484,1509.5,1432.689941,1460.829956,1460.829956,9991800
21-12-2018,1464.98999,1480,1363.959961,1377.449951,1377.449951,13640300
24-12-2018,1346,1396.030029,1307,1343.959961,1343.959961,7220000
26-12-2018,1368.890015,1473.160034,1363.01001,1470.900024,1470.900024,10411800
27-12-2018,1454.199951,1469,1390.310059,1461.640015,1461.640015,9722000
28-12-2018,1473.349976,1513.469971,1449,1478.02002,1478.02002,8829000
31-12-2018,1510.800049,1520.76001,1487,1501.969971,1501.969971,6954500
02-01-2019,1465.199951,1553.359985,1460.930054,1539.130005,1539.130005,7983100
